restaurant_name,link,rating,votes,cuisine_type,pricing,type1,type2,type3
Good Friends Hawaiian Poke,yelp.com/biz/good-friends-hawaiian-poke-davis,4.5 star rating,260,"Poke,Seafood,Hawaiian,",$$,Poke,Seafood,Hawaiian
Temple Coffee Roasters,yelp.com/biz/temple-coffee-roasters-davis,4 star rating,482,"Coffee & Tea,Coffee Roasteries,",$,Coffee & Tea,Coffee Roasteries,
Crepeville,yelp.com/biz/crepeville-davis,4 star rating,969,"Breakfast & Brunch,Creperies,Sandwiches,",$$,Breakfast & Brunch,Creperies,Sandwiches
Thai Canteen,yelp.com/biz/thai-canteen-davis,3.5 star rating,1018,"Thai,Salad,Noodles,",$$,Thai,Salad,Noodles
Tommy J’s Grill & Catering,yelp.com/biz/tommy-js-grill-and-catering-davis,4 star rating,414,"Burgers,American (Traditional),Bars,",$$,Burgers,American (Traditional),Bars
Tea List,yelp.com/biz/tea-list-davis,4 star rating,426,"Coffee & Tea,Tea Rooms,Sandwiches,",$$,Coffee & Tea,Tea Rooms,Sandwiches
Raja’s Tandoor,yelp.com/biz/rajas-tandoor-davis-2,4 star rating,671,"Indian,",$,Indian,,
Blaze Pizza,yelp.com/biz/blaze-pizza-davis,4 star rating,497,"Pizza,Salad,Fast Food,",$,Pizza,Salad,Fast Food
In-N-Out Burger,yelp.com/biz/in-n-out-burger-davis,4 star rating,418,"Fast Food,Burgers,",$,Fast Food,Burgers,
Davis Creamery,yelp.com/biz/davis-creamery-davis,4.5 star rating,282,"Ice Cream & Frozen Yogurt,Desserts,Cupcakes,",$,Ice Cream & Frozen Yogurt,Desserts,Cupcakes
Zia’s Delicatessen,yelp.com/biz/zias-delicatessen-davis,4 star rating,360,"Delis,Sandwiches,",$,Delis,Sandwiches,
Shah’s Halal Food - University Mall,yelp.com/biz/shahs-halal-food-university-mall-davis,4.5 star rating,332,"Food Trucks,Halal,Mediterranean,",$$,Food Trucks,Halal,Mediterranean
Tasty Gourmet,yelp.com/biz/tasty-gourmet-davis-3,5 star rating,151,"Cantonese,",$$,Cantonese,,
My Burma,yelp.com/biz/my-burma-davis,4.5 star rating,217,"Burmese,Asian Fusion,",$$,Burmese,Asian Fusion,
UC Davis Arboretum and Public Garden,yelp.com/biz/uc-davis-arboretum-and-public-garden-davis,4.5 star rating,167,"Botanical Gardens,Nurseries & Gardening,",$$,Botanical Gardens,Nurseries & Gardening,
Yakitori Yuchan,yelp.com/biz/yakitori-yuchan-davis,4 star rating,508,"Ramen,Tapas/Small Plates,Izakaya,",$,Ramen,Tapas/Small Plates,Izakaya
Root Of Happiness,yelp.com/biz/root-of-happiness-davis,4.5 star rating,206,"Coffee & Tea,Lounges,",$$,Coffee & Tea,Lounges,
Mishka’s Cafe,yelp.com/biz/mishkas-cafe-davis,4 star rating,492,"Coffee & Tea,",$,Coffee & Tea,,
Thai Nakorn,yelp.com/biz/thai-nakorn-davis,3.5 star rating,511,"Thai,Salad,Soup,",$$,Thai,Salad,Soup
Village Bakery,yelp.com/biz/village-bakery-davis,4 star rating,298,"Bakeries,Pizza,Salad,",$$,Bakeries,Pizza,Salad
Davis Food Co-op,yelp.com/biz/davis-food-co-op-davis,4 star rating,251,"Grocery,Delis,Fruits & Veggies,",$$,Grocery,Delis,Fruits & Veggies
Let Them Eat Cake,yelp.com/biz/let-them-eat-cake-davis-2,4 star rating,421,"Bakeries,Custom Cakes,Cupcakes,",$$,Bakeries,Custom Cakes,Cupcakes
Paesanos,yelp.com/biz/paesanos-davis-2,3.5 star rating,638,"Italian,Pizza,",$$,Italian,Pizza,
MandRo Teahouse,yelp.com/biz/mandro-teahouse-davis,4 star rating,504,"Bubble Tea,Desserts,Shaved Snow,",$$,Bubble Tea,Desserts,Shaved Snow
Wok of Flame,yelp.com/biz/wok-of-flame-davis,4 star rating,517,"Chinese,Desserts,",$$,Chinese,Desserts,
Zen Toro Japanese Bistro & Sushi Bar,yelp.com/biz/zen-toro-japanese-bistro-and-sushi-bar-davis,3.5 star rating,490,"Sushi Bars,Japanese,",$,Sushi Bars,Japanese,
Yeti Restaurant,yelp.com/biz/yeti-restaurant-davis,4 star rating,367,"Indian,Himalayan/Nepalese,Seafood,",$,Indian,Himalayan/Nepalese,Seafood
Guads Tacos & Beer,yelp.com/biz/guads-tacos-and-beer-no-title,5 star rating,103,"Beer Bar,Tacos,",$$,Beer Bar,Tacos,
Yoloberry Yogurt,yelp.com/biz/yoloberry-yogurt-davis,4 star rating,338,"Ice Cream & Frozen Yogurt,",$,Ice Cream & Frozen Yogurt,,
Delta of Venus,yelp.com/biz/delta-of-venus-davis,4 star rating,399,"Pubs,Cafes,Breakfast & Brunch,",$$,Pubs,Cafes,Breakfast & Brunch
Ike’s Love & Sandwiches,yelp.com/biz/ikes-love-and-sandwiches-davis-5,4 star rating,385,"Sandwiches,",$$,Sandwiches,,
Kathmandu Kitchen,yelp.com/biz/kathmandu-kitchen-davis,3.5 star rating,528,"Indian,Himalayan/Nepalese,",$$,Indian,Himalayan/Nepalese,
Huku Japanese Bistro,yelp.com/biz/huku-japanese-bistro-davis-3,4 star rating,388,"Japanese,Sushi Bars,",$,Japanese,Sushi Bars,
Cafe Bernardo,yelp.com/biz/cafe-bernardo-davis-2,3.5 star rating,625,"American (New),",$,American (New),,
Fluffy Donuts,yelp.com/biz/fluffy-donuts-davis,4 star rating,247,"Donuts,Coffee & Tea,Juice Bars & Smoothies,",$$,Donuts,Coffee & Tea,Juice Bars & Smoothies
Cultivé Frozen Yogurt,yelp.com/biz/cultiv%C3%A9-frozen-yogurt-davis-2,4 star rating,288,"Ice Cream & Frozen Yogurt,",$,Ice Cream & Frozen Yogurt,,
Ikedas California Country Market,yelp.com/biz/ikedas-california-country-market-davis,4 star rating,245,"Bakeries,Fruits & Veggies,Grocery,",$$,Bakeries,Fruits & Veggies,Grocery
Teabo Café,yelp.com/biz/teabo-caf%C3%A9-davis,3.5 star rating,593,"Cafes,Bubble Tea,",$$,Cafes,Bubble Tea,
